features,importance
IAQCORE,0.0
PANIC_ON_OOPS,0.0
CAIF_SPI_SLAVE,0.0
SND_ATIIXP_MODEM,0.0
COMEDI_MULTIQ3,0.0
VZ89X,0.0
WQ_WATCHDOG,0.0
NET_SCH_ATM,0.0
SND_AU8810,0.0
COMEDI_S526,0.0
IIO_CROS_EC_SENSORS_CORE,0.0
NET_SCH_HFSC,0.0
INFINIBAND_ADDR_TRANS_CONFIGFS,0.0
MLX4_EN_DCB,0.0
LEGACY_PTYS,0.0
BLK_DEV_IDECS,0.0
SCSI_OSD_INITIATOR,0.0
WLAN_VENDOR_ST,0.0
PINCTRL_BROXTON,0.0
SND_SOC_MAX98925,0.0
SND_SOC_NAU8540,0.0
MLX4_DEBUG,0.0
I2C_GPIO,0.0
BLK_DEV_DELKIN,0.0
SCSI_OSD_ULD,0.0
CW1200,0.0
PINCTRL_CANNONLAKE,0.0
SND_SOC_MAX98926,0.0
INFINIBAND_MTHCA_DEBUG,0.0
INFINIBAND_MTHCA,0.0
INFINIBAND_USER_MEM,0.0
MLX4_EN,0.0
I2C_EG20T,0.0
VT_HW_CONSOLE_BINDING,0.0
IDE_GD_ATA,0.0
SCSI_DH_EMC,0.0
RSI_SDIO,0.0
PINCTRL_MERRIFIELD,0.0
SND_SOC_MAX9867,0.0
INFINIBAND_ON_DEMAND_PAGING,0.0
MLX4_CORE,0.0
I2C_EMEV2,0.0
UNIX98_PTYS,0.0
IDE_GD_ATAPI,0.0
SCSI_DH_ALUA,0.0
RSI_USB,0.0
PINCTRL_INTEL,0.0
SND_SOC_MAX98371,0.0
I2C_IMG,0.0
ROCKETPORT,0.0
BLK_DEV_IDEACPI,0.0
MLX5_CORE_EN,0.0
SND_SOC_MAX9877,0.0
INFINIBAND_CXGB3,0.0
CYCLADES,0.0
IDE_TASK_IOCTL,0.0
BLK_DEV_IDECD,0.0
MLX5_CORE_EN_DCB,0.0
SND_SOC_ML26124,0.0
CRC7,0.0
WL1251_SPI,0.0
CYZ_INTR,0.0
IDE_PROC_FS,0.0
ATA_ACPI,0.0
MLX5_CORE_IPOIB,0.0
ATA_VERBOSE_ERROR,0.0
MLX5_CORE,0.0
CW1200_WLAN_SDIO,0.0
PINCTRL_GEMINILAKE,0.0
SND_SOC_MAX9850,0.0
INFINIBAND_QIB,0.0
BLK_DEV_IDECD_VERBOSE_ERRORS,0.0
SCSI_OSD_DEBUG,0.0
MLX5_ACCEL,0.0
WL1251,0.0
PINCTRL_SUNRISEPOINT,0.0
SND_SOC_MAX9860,0.0
INFINIBAND_RDMAVT,0.0
WLAN_VENDOR_TI,0.0
SERIAL_NONSTANDARD,0.0
BLK_DEV_IDETAPE,0.0
MLX5_FPGA,0.0
SND_SOC_MAX9768,0.0
INFINIBAND_QIB_DCA,0.0
CW1200_WLAN_SPI,0.0
GEOS,0.0
DEBUG_PERF_USE_VMALLOC,0.0
ACPI_THERMAL,0.0
VIDEO_S5C73M3,0.0
VIDEO_SAA6752HS,0.0
USB_XHCI_RCAR,0.0
VM_EVENT_COUNTERS,0.0
MOUSE_GPIO,0.0
SND_AZT3328,0.0
VIDEO_ADP1653,0.0
USB_XHCI_MTK,0.0
PLATFORM_MHU,0.0
SLUB_DEBUG,0.0
VIDEO_SAA7134_RC,0.0
VIDEO_AS3645A,0.0
USB_XHCI_MVEBU,0.0
CHECK_SIGNATURE,0.0
VIDEO_SAA7134_ALSA,0.0
VIDEO_S5K5BAF,0.0
DVB_CX24110,0.0
DRM_VIRTIO_GPU,0.0
USB_XHCI_HCD,0.0
H8300_TPU,0.0
ALIX,0.0
PC104,0.0
ACPI_CONTAINER,0.0
MOUSE_VSXXXAA,0.0
DVB_OR51211,0.0
USB_XHCI_PCI,0.0
PROFILING,0.0
ACPI_PROCESSOR_AGGREGATOR,0.0
NET5501,0.0
VIDEO_SAA7134,0.0
VIDEO_ET8EK8,0.0
USB_XHCI_PLATFORM,0.0
VIDEO_SMIAPP,0.0
SOC_CAMERA_IMX074,0.0
USB_EHCI_ROOT_HUB_TT,0.0
ALTERA_MBOX,0.0
SLOB,0.0
ACPI_PCI_SLOT,0.0
PCMCIA_LOAD_CIS,0.0
POWER_RESET_GEMINI_POWEROFF,0.0
VIDEO_SAA7164,0.0
