feature,importance
X86_32_SMP,1.6810186019816355e-08
NFC_ST_NCI_I2C,3.851187581863492e-06
BATTERY_GOLDFISH,7.995458610041028e-06
LCD_ILI922X,9.317239909955685e-06
ISL29125,1.1710329177442997e-05
X86_64_SMP,1.6260288953055995e-05
NFC_ST_NCI_SPI,2.5983527920668256e-06
BATTERY_RT5033,2.7581896239127964e-06
LCD_ILI9320,9.086704629137267e-06
HID_SENSOR_ALS,3.3361409015411394e-06
X86_32_LAZY_GS,7.17794929892413e-09
NFC_NXP_NCI,2.0025768988040477e-06
MFD_RT5033,6.616887478747016e-06
LCD_TDO24M,2.1815438587920083e-06
NFC_NXP_NCI_I2C,5.156604624917561e-06
LCD_VGG2432A4,8.329086688698328e-07
HID_SENSOR_PROX,2.2746836214103085e-06
NFC_S3FWRN5,3.0325181691604013e-07
CHARGER_RT9455,7.78030479682314e-06
LCD_PLATFORM,2.428926217050597e-05
SND_MXS_SOC,1.2851653489433986e-07
JSA1212,7.550761636938672e-06
NFC_S3FWRN5_I2C,7.23494359558534e-07
HWMON_VID,2.0652031600239255e-06
SND_SOC_MXS_SGTL5000,2.774928938336377e-07
RPR0521,1.2301997264847442e-06
NET_EGRESS,3.302898480526491e-07
HAVE_ARCH_COMPAT_MMAP_BASES,2.427844153824607e-06
NET_L3_MASTER_DEV,1.0533399298681954e-05
PATA_PCMCIA,1.2789888636542132e-06
SERIAL_DEV_CTRL_TTYPORT,4.023948723301863e-06
ATH6KL_DEBUG,8.592182767707035e-08
DVB_CX22702,2.6269376741129723e-05
RTC_DRV_BRCMSTB,4.674013646136192e-07
PACKET,2.4805110721584676e-05
QRTR,2.5609928739242293e-07
PATA_PLATFORM,2.7091201585717257e-06
TTY_PRINTK,4.0941793575852685e-06
ATH6KL_TRACING,2.082220854042918e-08
DVB_ATBM8830,2.6883148861189523e-07
RTC_DRV_AS3722,8.255028142342167e-06
CLKSRC_MMIO,2.0499752395593678e-06
PACKET_DIAG,9.277775171816354e-06
QRTR_SMD,2.0742532157444524e-07
PATA_OF_PLATFORM,3.9776924978393914e-05
ATH6KL_REGDOMAIN,5.345776869654896e-08
REGULATOR_DEBUG,8.97753805454549e-06
DVB_LGS8GXX,4.4386398985591035e-07
RTC_DRV_DS1307,1.2031610277744403e-06
AR5523,6.7313388017896736e-09
UNIX,5.585893669149869e-06
PATA_QDI,0.0
REGULATOR_VIRTUAL_CONSUMER,7.486278197739742e-06
MEDIA_TUNER_MXL5005S,9.848761833667265e-07
RTC_DRV_DS1307_HWMON,1.063123306533891e-06
RPMSG,4.258836563177135e-06
WIL6210,1.0246986944062187e-07
UNIX_DIAG,4.2106324451366804e-06
HAVE_ARCH_TRANSPARENT_HUGEPAGE_PUD,1.6641246768711006e-08
NET_NCSI,1.2232814018106734e-05
PATA_LEGACY,4.346328289902432e-06
REGULATOR_USERSPACE_CONSUMER,3.289675009528477e-06
MEDIA_TUNER_MAX2165,1.2973747531661458e-06
RTC_DRV_DS1307_CENTURY,1.5086702514506584e-06
TLS,8.201611502469578e-06
HAVE_ARCH_VMAP_STACK,5.898544184892421e-09
RPS,3.355030011303571e-05
WIL6210_ISR_COR,9.781592575631138e-05
PRINTER,3.8645361324152036e-05
REGULATOR_88PM800,3.826256613116042e-06
DVB_USB_M920X,3.436933202016125e-08
RTC_DRV_DS1374,1.0341844686215735e-05
WIL6210_TRACING,1.2236364175891655e-08
INET,3.076583693942256e-05
RFS_ACCEL,3.7663638213390124e-05
LP_CONSOLE,8.860083252613741e-06
REGULATOR_88PM8607,3.856780910963329e-06
